,Country Name,Country Code,Indicator Name,Indicator Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
884,Argentina,ARG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,40.8,,,,,,42.8,45.3,,,,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43.0,42.3,41.2,41.0,41.4,,42.4,40.6,
888,Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,22.6,,,,,,21.9,21.5,,,,20.4,21.5,22.0,21.6,20.8,21.2,21.3,21.0,21.3,21.3,21.1,20.3,21.9,22.4,22.4,22.7,22.7,23.1,23.2,22.9,22.9,23.4,23.5,23.4,,22.7,23.2,
889,Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,30.2,,,,,,32.4,34.4,,,,36.6,34.3,33.2,34.4,37.0,36.9,36.4,38.0,37.0,37.7,39.5,40.5,37.1,34.7,34.6,33.6,33.4,31.6,31.1,31.0,30.6,29.4,29.3,29.5,,30.9,29.4,
890,Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,46.6,,,,,,48.4,50.5,,,,52.4,50.9,49.9,51.0,53.8,54.0,53.7,55.1,54.2,55.1,57.0,57.8,54.5,52.3,51.7,50.7,50.5,48.8,48.2,48.0,47.4,46.3,46.0,46.6,,47.6,46.0,
891,Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,2.0,,,,,,2.0,1.7,,,,1.7,1.6,1.5,1.5,1.1,1.0,1.1,1.1,1.1,0.9,0.7,0.9,1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.6,1.7,1.7,1.8,1.8,,1.8,1.9,
892,Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,5.3,,,,,,5.1,4.6,,,,4.8,4.6,4.5,4.4,3.8,3.5,3.6,3.4,3.5,3.2,2.6,2.8,3.2,3.5,3.6,3.7,3.9,4.0,4.0,4.6,4.8,4.9,5.0,5.1,,5.0,5.2,
893,Argentina,ARG,Income share held by second 20%,SI.DST.02ND.20,,,,,,,10.2,,,,,,9.8,9.2,,,,9.1,9.2,9.3,9.0,8.4,8.2,8.2,7.8,8.0,7.6,7.1,6.9,7.6,8.1,8.4,8.6,8.7,9.2,9.3,9.5,9.7,9.9,10.0,9.8,,9.6,10.1,
894,Argentina,ARG,Income share held by third 20%,SI.DST.03RD.20,,,,,,,15.4,,,,,,14.8,14.2,,,,13.3,13.9,14.3,14.0,13.3,13.1,13.2,12.7,13.1,12.8,12.3,12.2,12.9,13.7,13.9,14.2,14.3,14.8,15.1,15.0,15.1,15.4,15.5,15.2,,15.0,15.5,
895,Argentina,ARG,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,0.1,,,,,,0.0,0.0,,,,0.3,0.6,0.7,0.7,1.3,1.5,1.3,1.5,1.6,1.9,3.2,4.7,2.4,1.9,1.4,1.2,1.1,0.9,1.0,0.4,0.4,0.3,0.3,0.3,,0.2,0.2,
896,Argentina,ARG,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,0.3,,,,,,0.0,0.2,,,,1.3,1.4,1.7,1.7,2.7,3.0,2.8,3.3,3.5,4.2,5.8,8.9,5.3,4.2,3.5,2.9,2.5,2.3,2.2,1.4,1.0,1.0,0.9,1.1,,1.0,0.8,
897,Argentina,ARG,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,1.3,,,,,,1.3,2.2,,,,4.1,4.4,4.5,4.8,6.3,7.0,6.8,7.5,7.9,8.7,10.4,15.0,10.4,9.0,7.6,6.2,6.0,5.4,5.1,4.1,3.4,3.3,3.2,3.6,,3.1,2.9,
898,Argentina,ARG,"Population, total",SP.POP.TOTL,25644506.0,26066975.0,26477152.0,26878565.0,27277741.0,27684534.0,28105888.0,28543364.0,28993987.0,29454738.0,29920904.0,30388783.0,30857244.0,31326473.0,31795517.0,32263561.0,32729739.0,33193918.0,33655151.0,34110917.0,34558115.0,34994814.0,35419682.0,35833969.0,36241590.0,36648068.0,37057452.0,37471509.0,37889370.0,38309379.0,38728696.0,39145488.0,39558890.0,39970224.0,40382389.0,40799407.0,41223889.0,41656879.0,42096739.0,42539925.0,42981515.0,43417765.0,43847430.0,44271041.0,
899,Argentina,ARG,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,0.2,,,,,,0.0,0.0,,,,0.7,1.2,1.2,1.5,2.4,2.9,2.4,2.3,2.5,2.9,4.9,5.6,2.7,1.8,1.5,1.3,1.3,1.1,1.1,0.4,0.4,0.3,0.3,0.3,,0.3,0.2,
900,Argentina,ARG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,0.4,,,,,,0.0,0.0,,,,1.3,2.0,2.3,2.3,3.9,4.5,4.0,4.2,4.5,5.4,8.2,11.7,6.1,4.5,3.7,3.1,2.7,2.4,2.3,1.1,0.9,0.9,0.8,0.8,,0.7,0.6,
901,Argentina,ARG,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,1.5,,,,,,0.8,1.9,,,,4.5,4.9,5.5,5.7,8.1,9.1,8.5,9.4,9.7,11.2,14.8,21.7,13.2,10.7,8.7,7.0,6.3,5.8,5.5,3.7,2.8,2.8,2.6,2.9,,2.4,2.1,
904,Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,0.4,,,,,,0.0,0.0,,,,1.1,2.1,2.4,2.3,4.1,4.6,4.1,4.6,4.8,5.7,9.4,14.0,7.0,5.4,3.9,3.3,2.9,2.6,2.6,1.1,0.9,0.8,0.8,0.7,,0.6,0.4,
905,Argentina,ARG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,1.2,,,,,,0.0,0.9,,,,4.4,4.9,5.8,5.5,8.6,9.5,8.8,10.1,10.7,12.6,17.3,26.2,15.5,12.1,10.0,8.0,6.9,6.2,6.0,3.7,2.6,2.7,2.4,2.8,,2.4,2.0,
906,Argentina,ARG,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,5.5,,,,,,4.9,8.3,,,,14.2,14.9,15.0,15.7,20.5,22.3,21.3,23.2,24.2,26.3,31.0,44.2,30.3,25.9,21.7,17.5,16.6,14.9,13.8,11.1,8.9,8.5,8.3,9.1,,7.8,7.1,
922,Argentina,ARG,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,40.2,33.8,26.9,20.6,15.3,13.2,9.9,6.5,5.4,4.7,,,,,
923,Argentina,ARG,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values",SI.POV.URHC.NC,,,,,,,,,,,,,,,32.3,47.3,33.7,21.5,17.8,16.8,19.0,24.8,27.9,26.0,25.9,26.7,28.9,38.3,57.5,47.8,40.2,33.8,26.9,20.6,15.3,13.2,9.9,6.5,5.4,4.7,,,,,
972,Australia,AUS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,31.3,,,,32.5,,,,33.2,,,,,,32.6,,,,,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,35.8,,,,
976,Australia,AUS,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,23.4,,,,23.1,,,,23.2,,,,,,22.9,,,,,,23.1,,23.1,22.7,,,,22.5,,22.7,,,,22.1,,,,
977,Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,23.3,,,,24.3,,,,24.7,,,,,,24.6,,,,,,25.1,,25.1,25.4,,,,27.4,,26.4,,,,27.8,,,,
978,Australia,AUS,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,39.2,,,,40.2,,,,40.6,,,,,,40.4,,,,,,40.9,,40.9,40.9,,,,42.7,,42.0,,,,43.0,,,,
979,Australia,AUS,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,2.8,,,,2.7,,,,2.6,,,,,,2.9,,,,,,2.7,,2.7,3.0,,,,2.8,,2.8,,,,2.4,,,,
