,Birth City,Birth State,Year Start,Latitude (generated),Longitude (generated)
0,Sheridan,Wyoming,1952.0,44.7948,-106.8223
1,Cheyenne,Wyoming,2010.0,41.14,-104.8202
2,Cheyenne,Wyoming,,41.14,-104.8202
3,Casper,Wyoming,1950.0,42.8666,-106.3131
4,Afton,Wyoming,1950.0,42.725,-110.9318
5,Wauwatosa,Wisconsin,2012.0,43.0494,-88.0079
6,Wausau,Wisconsin,1973.0,44.9596,-89.6298
7,Valders,Wisconsin,,44.0661,-87.8843
8,Superior,Wisconsin,1950.0,46.7208,-92.1041
9,Sheboygan,Wisconsin,2016.0,43.7508,-87.7145
10,Rice Lake,Wisconsin,2017.0,45.5028,-91.7332
11,Randolph,Wisconsin,2012.0,43.5392,-89.0068
12,Racine,Wisconsin,2006.0,42.7261,-87.7825
13,Racine,Wisconsin,2003.0,42.7261,-87.7825
14,Racine,Wisconsin,1995.0,42.7261,-87.7825
15,Racine,Wisconsin,1973.0,42.7261,-87.7825
16,Racine,Wisconsin,1947.0,42.7261,-87.7825
17,Phillips,Wisconsin,1956.0,45.691,-90.3978
18,Neenah,Wisconsin,1981.0,44.1858,-88.4626
19,Monroe,Wisconsin,1960.0,42.6018,-89.6392
20,Milwaukee,Wisconsin,2017.0,43.0115,-87.9735
21,Milwaukee,Wisconsin,2016.0,43.0115,-87.9735
22,Milwaukee,Wisconsin,2014.0,43.0115,-87.9735
23,Milwaukee,Wisconsin,2010.0,43.0115,-87.9735
24,Milwaukee,Wisconsin,2008.0,43.0115,-87.9735
25,Milwaukee,Wisconsin,2005.0,43.0115,-87.9735
26,Milwaukee,Wisconsin,2003.0,43.0115,-87.9735
27,Milwaukee,Wisconsin,2001.0,43.0115,-87.9735
28,Milwaukee,Wisconsin,2000.0,43.0115,-87.9735
29,Milwaukee,Wisconsin,1993.0,43.0115,-87.9735
30,Milwaukee,Wisconsin,1992.0,43.0115,-87.9735
31,Milwaukee,Wisconsin,1986.0,43.0115,-87.9735
32,Milwaukee,Wisconsin,1982.0,43.0115,-87.9735
33,Milwaukee,Wisconsin,1981.0,43.0115,-87.9735
34,Milwaukee,Wisconsin,1972.0,43.0115,-87.9735
35,Milwaukee,Wisconsin,1964.0,43.0115,-87.9735
36,Madison,Wisconsin,2014.0,43.0748,-89.3838
37,Madison,Wisconsin,2004.0,43.0748,-89.3838
38,Madison,Wisconsin,1976.0,43.0748,-89.3838
39,Lacrosse,Wisconsin,1972.0,43.8014,-91.2396
40,Kohler,Wisconsin,1988.0,43.7392,-87.7818
41,Kenosha,Wisconsin,1950.0,42.5847,-87.8212
42,Janesville,Wisconsin,2009.0,42.7152,-88.9908
43,Green Bay,Wisconsin,1993.0,44.5299,-88.0248
44,Fond du Lac,Wisconsin,2006.0,43.7749,-88.4458
45,Eau Claire,Wisconsin,1983.0,44.8113,-91.4985
46,Wheeling,West Virginia,1997.0,40.064,-80.7209
47,Weirton,West Virginia,1969.0,40.419000000000004,-80.5895
48,Weirton,West Virginia,,40.419000000000004,-80.5895
49,Princeton,West Virginia,1964.0,37.3663,-81.1026
50,Parkersburg,West Virginia,2006.0,39.2667,-81.5615
51,Parkersburg,West Virginia,,39.2667,-81.5615
52,Oak Hill,West Virginia,1985.0,37.9723,-81.1487
53,Mullens,West Virginia,1976.0,37.5833,-81.3805
54,Mullens,West Virginia,1974.0,37.5833,-81.3805
55,Huntington,West Virginia,1950.0,38.4192,-82.4452
56,Huntington,West Virginia,,38.4192,-82.4452
57,Clarksburg,West Virginia,1991.0,39.2806,-80.3445
58,Chelyan,West Virginia,,38.195381,-81.4909497
59,Charlestown,West Virginia,1969.0,39.2892,-77.8596
60,Charleston,West Virginia,1953.0,38.3506,-81.6333
61,Charleston,West Virginia,1952.0,38.3506,-81.6333
62,Charleston,West Virginia,,38.3506,-81.6333
63,Berkley,West Virginia,1976.0,39.62699020000001,-78.2271957
64,Beckley,West Virginia,2003.0,37.7782,-81.1882
65,Tacoma,Washington,2015.0,47.2496,-122.4399
66,Tacoma,Washington,2011.0,47.2496,-122.4399
67,Tacoma,Washington,1996.0,47.2496,-122.4399
68,Tacoma,Washington,1982.0,47.2496,-122.4399
69,Tacoma,Washington,1969.0,47.2496,-122.4399
70,Stevenson,Washington,1994.0,45.6954,-121.8847
71,Spokane,Washington,2015.0,47.6589,-117.4247
72,Spokane,Washington,1989.0,47.6589,-117.4247
73,Spokane,Washington,1980.0,47.6589,-117.4247
74,Spokane,Washington,,47.6589,-117.4247
75,Snohomish,Washington,2010.0,47.918,-122.09
76,Seattle,Washington,2017.0,47.6038,-122.3301
77,Seattle,Washington,2014.0,47.6038,-122.3301
78,Seattle,Washington,2013.0,47.6038,-122.3301
79,Seattle,Washington,2010.0,47.6038,-122.3301
80,Seattle,Washington,2008.0,47.6038,-122.3301
81,Seattle,Washington,2007.0,47.6038,-122.3301
82,Seattle,Washington,2006.0,47.6038,-122.3301
83,Seattle,Washington,2001.0,47.6038,-122.3301
84,Seattle,Washington,2000.0,47.6038,-122.3301
85,Seattle,Washington,1993.0,47.6038,-122.3301
86,Seattle,Washington,1988.0,47.6038,-122.3301
87,Seattle,Washington,1985.0,47.6038,-122.3301
88,Seattle,Washington,1980.0,47.6038,-122.3301
89,Seattle,Washington,1978.0,47.6038,-122.3301
90,Seattle,Washington,1975.0,47.6038,-122.3301
91,Seattle,Washington,1971.0,47.6038,-122.3301
92,Seattle,Washington,1968.0,47.6038,-122.3301
93,Seattle,Washington,,47.6038,-122.3301
94,Richland,Washington,1996.0,46.2778,-119.2769
95,Renton,Washington,2015.0,47.4799,-122.2034
96,Pullman,Washington,1990.0,46.7304,-117.1739
97,Mount Vernon,Washington,1997.0,48.42,-122.3264
98,Moses Lake,Washington,1983.0,47.1301,-119.2781
99,Everett,Washington,1989.0,47.9673,-122.2014
100,Elma,Washington,1975.0,47.0034,-123.4088
101,Ellensburg,Washington,1968.0,46.9971,-120.5451
102,Chelan,Washington,2015.0,47.841,-120.0165
103,Bremerton,Washington,1988.0,47.5312,-122.734
104,Bellingham,Washington,1974.0,48.7544,-122.4789
105,Battle Ground,Washington,2004.0,45.7814,-122.5337
106,Auburn,Washington,1986.0,47.3075,-122.2302
107,Aberdeen,Washington,1969.0,46.9754,-123.8157
108,Woodbridge,Virginia,2013.0,38.6582,-77.2497
109,Waynesboro,Virginia,1996.0,38.0677,-78.8902
110,Waynesboro,Virginia,1968.0,38.0677,-78.8902
111,Waynesboro,Virginia,,38.0677,-78.8902
