id,Birth City,Birth State,Year Start,Latitude (generated),Longitude (generated),Birth County
0,Sheridan,Wyoming,1952,44.7948,-106.8223,Sheridan
1,Cheyenne,Wyoming,2010,41.14,-104.8202,Laramie
2,Cheyenne,Wyoming,,41.14,-104.8202,Laramie
3,Casper,Wyoming,1950,42.8666,-106.3131,Natrona
4,Afton,Wyoming,1950,42.725,-110.9318,Lincoln
5,Wauwatosa,Wisconsin,2012,43.0494,-88.0079,Milwaukee
6,Wausau,Wisconsin,1973,44.9596,-89.6298,Marathon
7,Valders,Wisconsin,,44.0661,-87.8843,Manitowoc
8,Superior,Wisconsin,1950,46.7208,-92.1041,Douglas
9,Sheboygan,Wisconsin,2016,43.7508,-87.7145,Sheboygan
10,Rice Lake,Wisconsin,2017,45.5028,-91.7332,Barron
11,Randolph,Wisconsin,2012,43.5392,-89.0068,Dodge
12,Racine,Wisconsin,2006,42.7261,-87.7825,Racine
13,Racine,Wisconsin,2003,42.7261,-87.7825,Racine
14,Racine,Wisconsin,1995,42.7261,-87.7825,Racine
15,Racine,Wisconsin,1973,42.7261,-87.7825,Racine
16,Racine,Wisconsin,1947,42.7261,-87.7825,Racine
17,Phillips,Wisconsin,1956,45.691,-90.3978,Price
18,Neenah,Wisconsin,1981,44.1858,-88.4626,Winnebago
19,Monroe,Wisconsin,1960,42.6018,-89.6392,Green
20,Milwaukee,Wisconsin,2017,43.0115,-87.9735,Milwaukee
21,Milwaukee,Wisconsin,2016,43.0115,-87.9735,Milwaukee
22,Milwaukee,Wisconsin,2014,43.0115,-87.9735,Milwaukee
23,Milwaukee,Wisconsin,2010,43.0115,-87.9735,Milwaukee
24,Milwaukee,Wisconsin,2008,43.0115,-87.9735,Milwaukee
25,Milwaukee,Wisconsin,2005,43.0115,-87.9735,Milwaukee
26,Milwaukee,Wisconsin,2003,43.0115,-87.9735,Milwaukee
27,Milwaukee,Wisconsin,2001,43.0115,-87.9735,Milwaukee
28,Milwaukee,Wisconsin,2000,43.0115,-87.9735,Milwaukee
29,Milwaukee,Wisconsin,1993,43.0115,-87.9735,Milwaukee
30,Milwaukee,Wisconsin,1992,43.0115,-87.9735,Milwaukee
31,Milwaukee,Wisconsin,1986,43.0115,-87.9735,Milwaukee
32,Milwaukee,Wisconsin,1982,43.0115,-87.9735,Milwaukee
33,Milwaukee,Wisconsin,1981,43.0115,-87.9735,Milwaukee
34,Milwaukee,Wisconsin,1972,43.0115,-87.9735,Milwaukee
35,Milwaukee,Wisconsin,1964,43.0115,-87.9735,Milwaukee
36,Madison,Wisconsin,2014,43.0748,-89.3838,Dane
37,Madison,Wisconsin,2004,43.0748,-89.3838,Dane
38,Madison,Wisconsin,1976,43.0748,-89.3838,Dane
39,Lacrosse,Wisconsin,1972,43.8014,-91.2396,La Crosse
40,Kohler,Wisconsin,1988,43.7392,-87.7818,Sheboygan
41,Kenosha,Wisconsin,1950,42.5847,-87.8212,Kenosha
42,Janesville,Wisconsin,2009,42.7152,-88.9908,Rock
43,Green Bay,Wisconsin,1993,44.5299,-88.0248,Brown
44,Fond du Lac,Wisconsin,2006,43.7749,-88.4458,Fond du Lac
45,Eau Claire,Wisconsin,1983,44.8113,-91.4985,Eau Claire
46,Wheeling,West Virginia,1997,40.064,-80.7209,Ohio
47,Weirton,West Virginia,1969,40.419,-80.5895,Hancock
48,Weirton,West Virginia,,40.419,-80.5895,Hancock
49,Princeton,West Virginia,1964,37.3663,-81.1026,Mercer
50,Parkersburg,West Virginia,2006,39.2667,-81.5615,Wood
51,Parkersburg,West Virginia,,39.2667,-81.5615,Wood
52,Oak Hill,West Virginia,1985,37.9723,-81.1487,Fayette
53,Mullens,West Virginia,1976,37.5833,-81.3805,Wyoming
54,Mullens,West Virginia,1974,37.5833,-81.3805,Wyoming
55,Huntington,West Virginia,1950,38.4192,-82.4452,Cabell
56,Huntington,West Virginia,,38.4192,-82.4452,Cabell
57,Clarksburg,West Virginia,1991,39.2806,-80.3445,Harrison
58,Chelyan,West Virginia,,38.195381,-81.4909497,Kanawha
59,Charlestown,West Virginia,1969,39.2892,-77.8596,Jefferson
60,Charleston,West Virginia,1953,38.3506,-81.6333,Kanawha
61,Charleston,West Virginia,1952,38.3506,-81.6333,Kanawha
62,Charleston,West Virginia,,38.3506,-81.6333,Kanawha
63,Berkley,West Virginia,1976,39.6269902,-78.2271957,Morgan
64,Beckley,West Virginia,2003,37.7782,-81.1882,Raleigh
65,Tacoma,Washington,2015,47.2496,-122.4399,Pierce
66,Tacoma,Washington,2011,47.2496,-122.4399,Pierce
67,Tacoma,Washington,1996,47.2496,-122.4399,Pierce
68,Tacoma,Washington,1982,47.2496,-122.4399,Pierce
69,Tacoma,Washington,1969,47.2496,-122.4399,Pierce
70,Stevenson,Washington,1994,45.6954,-121.8847,Skamania
71,Spokane,Washington,2015,47.6589,-117.4247,Spokane
72,Spokane,Washington,1989,47.6589,-117.4247,Spokane
73,Spokane,Washington,1980,47.6589,-117.4247,Spokane
74,Spokane,Washington,,47.6589,-117.4247,Spokane
75,Snohomish,Washington,2010,47.918,-122.09,Snohomish
76,Seattle,Washington,2017,47.6038,-122.3301,King
77,Seattle,Washington,2014,47.6038,-122.3301,King
78,Seattle,Washington,2013,47.6038,-122.3301,King
79,Seattle,Washington,2010,47.6038,-122.3301,King
80,Seattle,Washington,2008,47.6038,-122.3301,King
