State,County,Year,Poverty Rate
Minnesota,Aitkin County,2018,13.0
Minnesota,Aitkin County,2017,12.2
Minnesota,Aitkin County,2016,12.8
Minnesota,Aitkin County,2015,12.4
Minnesota,Aitkin County,2014,12.4
Minnesota,Aitkin County,2013,12.1
Minnesota,Aitkin County,2012,12.6
Minnesota,Aitkin County,2011,12.6
Minnesota,Aitkin County,2010,12.6
Minnesota,Aitkin County,2009,12.8
Minnesota,Anoka County,2018,6.1
Minnesota,Anoka County,2017,6.6
Minnesota,Anoka County,2016,7.4
Minnesota,Anoka County,2015,7.7
Minnesota,Anoka County,2014,7.7
Minnesota,Anoka County,2013,7.4
Minnesota,Anoka County,2012,7.1
Minnesota,Anoka County,2011,7.1
Minnesota,Anoka County,2010,7.1
Minnesota,Anoka County,2009,7.1
Minnesota,Becker County,2018,12.3
Minnesota,Becker County,2017,12.7
Minnesota,Becker County,2016,12.8
Minnesota,Becker County,2015,12.8
Minnesota,Becker County,2014,12.8
Minnesota,Becker County,2013,11.9
Minnesota,Becker County,2012,11.8
Minnesota,Becker County,2011,11.8
Minnesota,Becker County,2010,10.4
Minnesota,Becker County,2009,10.4
Minnesota,Beltrami County,2018,18.4
Minnesota,Beltrami County,2017,19.0
Minnesota,Beltrami County,2016,19.1
Minnesota,Beltrami County,2015,18.8
Minnesota,Beltrami County,2014,18.8
Minnesota,Beltrami County,2013,19.2
Minnesota,Beltrami County,2012,20.7
Minnesota,Beltrami County,2011,20.7
Minnesota,Beltrami County,2010,20.7
Minnesota,Beltrami County,2009,20.7
Minnesota,Benton County,2018,12.6
Minnesota,Benton County,2017,14.1
Minnesota,Benton County,2016,13.5
Minnesota,Benton County,2015,14.8
Minnesota,Benton County,2014,14.8
Minnesota,Benton County,2013,13.1
Minnesota,Benton County,2012,14.5
Minnesota,Benton County,2011,12.1
Minnesota,Benton County,2010,10.9
Minnesota,Benton County,2009,11.2
Minnesota,Big Stone County,2018,11.4
Minnesota,Big Stone County,2017,11.7
Minnesota,Big Stone County,2016,11.3
Minnesota,Big Stone County,2015,14.4
Minnesota,Big Stone County,2014,14.4
Minnesota,Big Stone County,2013,12.4
Minnesota,Big Stone County,2012,12.9
Minnesota,Big Stone County,2011,12.9
Minnesota,Big Stone County,2010,12.9
Minnesota,Big Stone County,2009,12.9
Minnesota,Blue Earth County,2018,18.1
Minnesota,Blue Earth County,2017,18.1
Minnesota,Blue Earth County,2016,18.3
Minnesota,Blue Earth County,2015,19.1
Minnesota,Blue Earth County,2014,19.1
Minnesota,Blue Earth County,2013,17.8
Minnesota,Blue Earth County,2012,19.4
Minnesota,Blue Earth County,2011,19.4
Minnesota,Blue Earth County,2010,19.4
Minnesota,Blue Earth County,2009,19.4
Minnesota,Brown County,2018,7.8
Minnesota,Brown County,2017,8.1
Minnesota,Brown County,2016,8.0
Minnesota,Brown County,2015,7.8
Minnesota,Brown County,2014,7.8
Minnesota,Brown County,2013,9.4
Minnesota,Brown County,2012,9.0
Minnesota,Brown County,2011,9.0
Minnesota,Brown County,2010,9.0
Minnesota,Brown County,2009,7.8
Minnesota,Carlton County,2018,12.0
Minnesota,Carlton County,2017,12.0
Minnesota,Carlton County,2016,13.1
Minnesota,Carlton County,2015,13.7
Minnesota,Carlton County,2014,13.7
Minnesota,Carlton County,2013,12.5
Minnesota,Carlton County,2012,11.9
Minnesota,Carlton County,2011,11.9
Minnesota,Carlton County,2010,11.9
Minnesota,Carlton County,2009,11.9
Minnesota,Carver County,2018,4.0
Minnesota,Carver County,2017,4.0
Minnesota,Carver County,2016,4.1
Minnesota,Carver County,2015,4.4
Minnesota,Carver County,2014,4.4
Minnesota,Carver County,2013,5.0
Minnesota,Carver County,2012,5.2
Minnesota,Carver County,2011,5.2
Minnesota,Carver County,2010,5.2
Minnesota,Carver County,2009,5.2
Minnesota,Cass County,2018,14.5
Minnesota,Cass County,2017,15.3
Minnesota,Cass County,2016,15.9
Minnesota,Cass County,2015,16.6
Minnesota,Cass County,2014,16.6
Minnesota,Cass County,2013,16.4
Minnesota,Cass County,2012,16.5
Minnesota,Cass County,2011,16.5
Minnesota,Cass County,2010,16.5
Minnesota,Cass County,2009,13.1
Minnesota,Chippewa County,2018,9.9
Minnesota,Chippewa County,2017,11.1
Minnesota,Chippewa County,2016,10.8
Minnesota,Chippewa County,2015,12.2
Minnesota,Chippewa County,2014,12.2
Minnesota,Chippewa County,2013,10.1
Minnesota,Chippewa County,2012,9.4
Minnesota,Chippewa County,2011,9.4
Minnesota,Chippewa County,2010,9.4
Minnesota,Chippewa County,2009,9.4
Minnesota,Chisago County,2018,5.6
Minnesota,Chisago County,2017,5.4
Minnesota,Chisago County,2016,6.0
Minnesota,Chisago County,2015,5.5
Minnesota,Chisago County,2014,5.5
Minnesota,Chisago County,2013,7.0
Minnesota,Chisago County,2012,7.6
Minnesota,Chisago County,2011,7.6
Minnesota,Chisago County,2010,7.6
Minnesota,Chisago County,2009,7.6
Minnesota,Clay County,2018,11.6
Minnesota,Clay County,2017,12.5
Minnesota,Clay County,2016,11.9
Minnesota,Clay County,2015,12.7
Minnesota,Clay County,2014,12.7
Minnesota,Clay County,2013,10.7
Minnesota,Clay County,2012,12.5
Minnesota,Clay County,2011,12.5
Minnesota,Clay County,2010,12.5
Minnesota,Clay County,2009,12.5
Minnesota,Clearwater County,2018,17.0
Minnesota,Clearwater County,2017,17.9
Minnesota,Clearwater County,2016,16.7
Minnesota,Clearwater County,2015,16.9
Minnesota,Clearwater County,2014,16.9
Minnesota,Clearwater County,2013,15.2
Minnesota,Clearwater County,2012,15.1
Minnesota,Clearwater County,2011,15.1
Minnesota,Clearwater County,2010,15.1
Minnesota,Clearwater County,2009,15.1
Minnesota,Cook County,2018,13.0
Minnesota,Cook County,2017,13.0
Minnesota,Cook County,2016,11.9
Minnesota,Cook County,2015,11.4
Minnesota,Cook County,2014,11.4
Minnesota,Cook County,2013,8.0
Minnesota,Cook County,2012,9.8
Minnesota,Cook County,2011,9.8
Minnesota,Cook County,2010,9.8
Minnesota,Cook County,2009,9.8
Minnesota,Cottonwood County,2018,12.5
Minnesota,Cottonwood County,2017,15.6
Minnesota,Cottonwood County,2016,16.0
Minnesota,Cottonwood County,2015,16.8
Minnesota,Cottonwood County,2014,16.8
Minnesota,Cottonwood County,2013,13.7
Minnesota,Cottonwood County,2012,12.7
Minnesota,Cottonwood County,2011,12.7
Minnesota,Cottonwood County,2010,12.7
Minnesota,Cottonwood County,2009,12.7
Minnesota,Crow Wing County,2018,10.5
Minnesota,Crow Wing County,2017,9.7
